CustomerID,First_Purchase,Recency,Frequency,Monetary,Min,Max,Mean
12747,370,3,11,4196.01,10.2,243.0,40.74
12748,374,1,209,28405.56,0.06,850.5,7.49
12749,214,4,5,3868.2,6.64,114.75,20.56
12820,327,4,4,942.34,6.96,37.8,15.97
12821,215,215,1,92.72,10.2,19.92,15.45
12822,88,71,2,918.98,6.96,102.0,20.63
12823,297,75,5,1759.5,229.5,535.5,351.9
12824,60,60,1,397.12,5.04,47.7,15.88
12826,366,3,7,1468.12,4.56,35.4,16.21
12827,45,6,3,430.15,5.04,44.55,17.21
12828,131,3,6,1018.71,1.0,45.9,18.19
12829,361,337,2,253.05,11.4,79.9,26.64
12830,172,38,6,6748.4,51.84,587.52,179.33
12831,263,263,1,215.05,15.0,42.0,23.89
12832,99,33,2,383.03,2.9,19.8,14.19
12833,146,146,1,417.38,9.95,27.04,17.39
12834,283,283,1,312.38,11.9,25.2,17.35
12836,312,60,4,2610.36,0.85,84.15,15.0
12837,174,174,1,134.1,3.9,25.5,11.18
12838,374,34,2,671.95,0.42,35.4,5.6
12839,368,3,14,5583.62,2.98,70.8,17.81
12840,227,144,4,2714.27,9.96,59.0,24.13
12841,372,5,25,3845.63,0.42,107.28,9.64
12842,309,71,2,1118.99,6.64,122.4,32.91
12843,265,66,8,1680.76,0.78,59.4,16.53
12844,131,30,2,325.96,0.42,17.85,6.27
12845,291,268,4,354.09,0.55,208.8,13.11
12847,23,23,1,843.64,0.38,46.8,10.04
12849,269,32,2,1010.29,0.85,100.0,21.05
12851,97,97,1,131.81,0.12,16.95,2.8
12852,295,295,1,299.75,13.2,34.8,18.33
12853,316,135,6,1881.7,10.2,81.6,25.09
12854,319,79,3,1280.9,1.26,135.2,12.08
12855,373,373,1,38.1,10.2,17.7,12.7
12856,64,8,6,2153.53,0.55,49.92,6.98
12857,303,211,2,1106.4,10.5,68.0,24.05
12863,53,53,1,504.2,15.0,340.0,104.24
12864,139,139,1,147.12,10.2,119.52,49.04
12867,361,27,7,3958.74,0.39,74.7,7.51
12868,374,186,6,1607.06,3.12,31.6,15.02
12871,208,85,2,380.64,5.04,163.2,34.6
12872,366,327,2,599.97,0.95,41.3,9.09
12873,283,283,1,374.0,68.0,102.0,93.5
12875,363,144,2,343.23,49.47,293.76,171.62
12877,359,4,12,1535.77,0.58,79.2,9.97
12878,267,237,2,841.64,8.5,30.6,18.19
12879,92,45,3,552.57,8.5,183.6,57.32
12881,276,276,1,298.0,12.7,195.0,42.57
12882,34,10,2,1463.04,56.4,283.2,112.54
12883,90,25,4,703.47,9.95,29.7,16.75
12884,89,89,1,309.05,17.85,170.0,44.15
12885,124,64,3,1158.27,6.64,46.8,16.55
12886,220,68,2,1351.09,3.75,35.4,16.81
12888,256,215,2,313.77,25.2,106.5,70.82
12890,25,25,1,376.72,0.39,45.0,4.77
12891,293,186,3,331.0,42.0,204.0,110.33
12893,31,31,1,176.55,0.79,37.44,5.7
12895,87,43,2,347.3,12.75,25.0,16.95
12897,302,205,2,216.5,29.7,70.8,54.12
12901,271,9,28,16293.1,0.85,1519.8,152.19
12902,265,265,1,138.68,5.04,17.7,13.87
12904,173,19,2,496.06,0.85,51.0,6.99
12906,79,12,5,2919.81,9.36,360.0,46.35
12908,313,177,2,246.0,318.0,432.0,375.0
12909,254,40,5,2128.83,2.88,290.0,23.94
12910,242,24,8,3075.04,8.4,102.0,41.0
12912,41,3,5,1662.3,20.4,157.92,69.26
12913,369,5,5,2483.63,9.36,204.0,49.67
12915,373,149,2,363.65,9.95,25.5,16.53
12916,321,139,4,2921.15,1.65,163.2,28.59
12917,129,129,1,594.0,297.0,297.0,297.0
12919,170,9,6,1301.44,10.4,107.28,26.7
12920,18,18,1,162.78,0.75,16.95,6.03
12921,374,10,37,16389.74,6.8,178.2,23.04
12922,162,162,1,405.38,7.8,35.4,14.48
12923,65,65,1,172.82,0.42,19.9,6.17
12924,328,89,4,929.95,0.83,152.64,31.12
12925,75,5,2,694.05,5.04,34.68,15.42
12928,360,36,5,2062.7,10.08,126.0,24.56
12929,312,312,1,105.1,10.2,17.85,14.73
12930,172,79,2,409.9,6.72,27.04,16.63
12931,358,22,15,33462.81,6.36,4176.0,512.88
12933,284,25,3,606.28,0.38,52.5,5.73
12935,320,3,7,2156.45,7.8,40.8,16.75
12936,79,18,4,1012.9,0.39,102.0,17.16
12937,268,16,4,1504.27,0.85,81.6,12.54
12938,26,26,1,114.14,6.96,19.8,12.68
12939,335,65,8,11581.8,69.12,650.88,246.42
12940,88,55,2,862.44,2.5,51.0,9.37
12942,366,132,3,675.6,0.39,25.5,9.65
12944,355,36,2,604.51,10.2,39.8,20.15
12945,289,289,1,462.95,15.0,58.0,20.13
12947,374,144,6,1407.29,3.36,130.0,16.54
12948,265,17,7,2053.7,5.04,46.8,17.8
12949,253,31,8,4143.02,5.04,63.6,19.38
12950,25,3,3,1843.0,9.0,179.0,80.13
12951,331,9,6,1042.07,2.9,35.7,16.89
12952,79,6,4,1382.84,6.64,33.9,17.57
12953,10,10,1,329.85,15.0,35.4,19.4
12955,268,2,11,4734.26,2.88,157.92,26.43
12956,307,307,1,108.07,2.5,16.95,5.69
12957,340,10,8,3979.04,2.88,76.5,16.88
12962,114,8,2,266.39,7.44,35.4,16.65
12963,366,9,8,1841.03,9.36,53.1,19.54
12965,90,90,1,769.81,0.78,31.8,7.13
12966,10,10,1,160.18,11.7,25.2,16.02
12967,372,359,2,1194.75,7.8,204.0,87.42
12968,113,113,1,135.95,9.95,61.2,27.19
12970,323,8,4,405.47,0.39,25.5,3.14
12971,373,4,86,10930.26,5.04,220.15,36.69
12974,198,198,1,144.8,11.8,35.7,18.1
12976,212,212,1,738.6,5.04,145.0,33.57
12977,157,157,1,39.24,0.39,20.0,4.36
12980,359,158,9,7092.06,91.8,838.8,368.74
12981,134,30,2,372.22,8.5,34.68,18.61
12982,243,243,1,377.2,1.95,23.4,13.95
12984,19,19,1,97.5,17.7,30.0,24.38
12985,29,1,2,1215.62,2.88,47.4,16.31
